"ID No.","PCD-400A"
"Title",""
"Test Date","2026/04/09","15:54:47"
"MEAS CHs",5
"Digital Input","OFF"
"Sampling Rate(Hz)",50
"Data Nos/CH",9120
"MEAS Time(sec)",182.4
"CH Name"
"CH No.","CH2","CH3","CH5","CH6","CH8"
"Range",2000,1000,5000,5000,5
"Calibration Coefficient",2.022,2.45,2.132,2,100000
"Offset",-97.55164,-1025.034,-15.1463,849.1317,-13.17073
"Unit","cm/s2","cm/s2","cm/s2","cm/s2","V"
1.60,-4.65800097560977,42.8110487804877,15.6195,-0.884153658536547,3.71951390243902
1.62,5.40218878048779,32.1129146341461,3.2968,-0.836592682926835,2.19512365853658
1.64,-17.2876102439024,-21.5441768292684,-31.5393,-0.886592682926789,2.43902609756097
1.66,0.822112195121946,-15.8825853658537,-33.8702,0.951212195122025,1.8902456097561
1.68,33.3560921951219,23.8011402439024,-7.306,-0.992690243902416,2.13414804878049
1.70,4.66539170731706,10.7683353658535,3.8883,-2.84147073170732,2.37805048780488
1.72,-39.1942541463415,-20.3601097560977,2.1541,-0.182934146341495,1.58536756097561
1.74,-19.5088512195122,3.96719512195114,19.9199,-4.05488536585358,0.914635853658536
1.76,19.5088443902439,27.9900426829267,32.227,-0.342690243902439,1.52439195121951
1.78,8.22213902439023,-13.7110487804879,5.0648,1.85974878048785,0.121952926829268
1.80,-3.6085336585366,-45.3805853658538,-21.1276,1.00365121951222,1.28048951219512
1.82,25.0555356097561,-10.4358170731708,-0.750100000000002,-3.39269024390239,2.13414804878049
1.84,31.3365580487805,15.587963414634,22.256,-0.384153658536547,1.7073187804878
1.86,-17.8014941463415,-12.1600792682929,17.9192,-0.807324390243934,0.426830975609755
1.88,-37.0243029268293,-20.2352195121953,17.3693,-0.970739024390241,0.426830975609755
1.90,3.51186536585365,18.9913719512194,24.9938,-1.81951951219514,-0.42682756097561
1.92,22.263696097561,19.3143536585364,11.0006,-0.735373170731691,0.914635853658536
1.94,-5.37112585365855,-25.6972256097562,-23.9655,-1.99269024390242,1.58536756097561
1.96,-3.23076487804879,-22.3413231707318,-29.5958,-1.65732439024384,0.975611463414634
1.98,23.0503034146341,26.7262012195122,-2.4635,-0.241470731707295,1.15853829268293
2.00,1.30739219512193,27.2132134146341,5.7252,2.57072439024398,0.914635853658536
2.02,-44.0726990243903,-4.97590243902448,-6.5,-1.37927560975606,-0.42682756097561
2.04,-28.9308780487805,10.9105548780487,-4.6072,-0.893909756097514,-0.121949512195123
2.06,15.2868097560976,40.2188292682927,3.9182,-1.65244634146336,0.670733414634146
2.08,9.73074829268292,9.59771341463397,-21.0002,-0.903665853658481,1.21951390243902
2.10,-12.0895907317073,-27.0835670731709,-42.5061,-0.241470731707295,0.731709024390243
2.12,6.11925902439023,2.97733536585361,-17.0781,-2.04390975609749,-0.548778780487806
2.14,17.4533087804878,34.4395182926828,11.9795,1.19511463414642,-1.40243731707317
2.16,-20.7383258536586,6.24898170731694,9.0883,-1.20000731707319,-0.365851951219513
2.18,-40.256543902439,-17.0899573170733,5.1961,0.0902365853659148,0.670733414634146
2.20,2.91216975609755,11.0686097560974,17.4655,-0.0865926829268346,1.34146512195122
2.22,30.934623902439,14.6175243902437,11.8443,-3.34269024390244,2.31707487804878
2.24,6.64695170731706,-29.3142621951221,-13.2392,-0.26342195121947,2.19512365853658
2.26,-1.23736878048781,-36.9035853658538,-12.7738,0.191456097560945,0.609757804878047
2.28,20.5632434146341,9.13818902439016,20.8715,0.92072439024389,1.82927
2.30,7.21656390243901,15.5099817073169,33.8442,-2.04878780487797,1.46341634146341
2.32,-30.6441531707317,-18.5393414634148,19.8965,0.859748780487848,0.853660243902437
2.34,-20.3995175609756,-13.9255731707318,12.5281,-0.367080487804856,2.19512365853658
2.36,24.6013253658536,18.1987073170731,14.3442,-0.314641463414659,0.182928536585365
2.38,23.5789824390244,-0.490908536585493,-4.9868,-3.22927560975609,-0.121949512195123
2.40,-8.04559073170732,-33.0242195121953,-28.9484,-1.26586097560971,0.731709024390243
2.42,-1.16980439024391,-4.56806707317082,-8.9648,-1.16586097560969,0.731709024390243
2.44,10.2234258536585,36.9618231707316,10.6548,-2.94025121951222,2.62195292682927
2.46,-19.6203078048781,18.2049817073168,8.008,-2.39390975609751,1.7073187804878
2.48,-40.8636370731707,-8.24306707317089,-10.7367,-1.5268365853658,0.731709024390243
2.50,-2.56695707317074,14.5024939024388,-11.258,-1.60732439024389,0.609757804878047
2.52,28.147716097561,29.0719268292683,-14.9188,-0.824397560975626,0.914635853658536
2.54,3.00932439024389,-6.7865121951221,-32.1997,1.82560243902446,2.50000170731707
2.56,-18.722243902439,-18.4503048780489,-32.6066,-3.12073902439022,2.50000170731707
2.58,1.01198292682926,24.1659512195122,1.7173,-0.595129268292681,2.37805048780488
2.60,0.956254634146333,35.4159329268291,19.8757,-1.3170804878049,1.21951390243902
2.62,-31.8647507317073,-4.45632317073182,3.3163,-0.962202439024395,0.54878219512195
2.64,-21.2793341463415,-14.9013902439026,-3.3514,-2.32683658536587,1.46341634146341
2.66,25.7321658536585,12.1711097560974,3.8051,1.23413902439029,1.8902456097561
2.68,31.4149721951219,0.682701219512182,-3.4164,-0.854885365853647,1.58536756097561
2.70,-5.43622439024391,-34.3466219512196,-12.3344,-3.06586097560978,2.98780658536585
2.72,-7.10511414634148,-17.4547682926831,5.018,-1.51098292682923,0.853660243902437
2.74,11.2630297560976,22.8731280487805,35.7825,0.531700000000001,0.0609773170731689
2.76,-6.2504492682927,6.90002439024374,33.8988,1.4390170731707,1.15853829268293
2.78,-26.1198048780488,-27.7426768292684,7.02,0.867065853658573,1.64634317073171
2.80,7.45624487804876,-11.2248963414636,4.9842,0.965846341463475,2.62195292682927
2.82,38.2098785365854,11.7755243902438,5.3118,-0.409763414634085,2.86585536585366
2.84,13.6218653658537,-12.3955182926831,-9.9437,0.297553658536572,1.46341634146341
2.86,-19.9078263414634,-24.4844756097563,-14.7485,0.00609024390246304,2.19512365853658
2.88,-6.29828682926831,17.4834268292682,10.2037,-1.1890317073171,2.98780658536585
2.90,1.35621609756096,37.2656829268292,23.1413,-1.79025121951213,2.74390414634146
2.92,-24.0124863414634,2.09145121951201,-1.6796,-0.202446341463428,2.86585536585366
2.94,-20.7792590243903,-11.630042682927,-21.6177,-0.70488536585367,3.17073341463414
2.96,20.6490551219512,18.6501646341462,-17.043,-1.4683,0.426830975609755
2.98,24.2171453658536,20.1739451219512,-20.4958,1.48170000000005,-0.18292512195122
3.00,-16.6267614634146,-10.2428048780489,-25.6022,-0.98415365853657,1.03658707317073
3.02,-26.2110414634146,0.023890243902315,-10.582,1.14755365853659,1.15853829268293
3.04,-3.59571121951221,38.3433841463414,15.3946,0.679260975609736,0.731709024390243
3.06,-5.84752878048782,25.3544999999999,11.4881,-2.19878780487807,2.25609926829268
3.08,-23.473943902439,-17.8963658536586,-9.9736,1.01340731707319,0.975611463414634
3.10,2.91562195121951,-11.4678048780489,-14.0712,-1.37195853658534,-0.0609739024390255
3.12,34.314816097561,13.1346768292681,-3.133,2.0951146341464,0.609757804878047
3.14,11.8129151219512,-5.76050000000009,-1.6848,1.48901707317077,-0.304876341463416
3.16,-22.9043317073171,-26.6019329268294,1.0452,-2.75000731707314,-0.42682756097561
3.18,-9.02995951219513,2.34870121951212,26.6305,-0.408543902438964,0.609757804878047
3.20,10.6653068292683,22.8432499999999,38.3773,1.0548707317073,0.304879756097559
3.22,-6.32738390243904,-11.9966463414636,13.832,0.801212195121934,-0.121949512195123
3.24,-8.42582536585367,-33.951036585366,-7.7571,1.6829195121951,0.79268463414634
3.26,24.3636170731707,-4.75809146341476,1.4625,-0.950007317073187,-0.975608048780488
3.28,29.3905063414634,8.06347560975587,8.177,-0.835373170731714,0.609757804878047
3.30,-12.0501370731707,-15.9590731707318,-3.003,-0.165860975609689,2.07317243902439
3.32,-27.1618746341464,-11.5792500000001,6.0489,2.95609024390251,-0.0609739024390255
3.34,-2.61528780487807,27.5508353658536,22.6174,1.49511463414638,1.03658707317073
3.36,2.40617658536584,24.6344390243901,10.1465,-1.74269024390242,1.7682943902439
3.38,-16.2080595121951,-14.4983353658538,-19.6365,-1.2183,1.52439195121951
3.40,-2.28387707317074,-9.25234756097575,-28.3894,-1.23537317073169,2.43902609756097
3.42,26.5680902439024,23.1465121951219,-14.0153,-0.0792756097561096,3.59756268292683
3.44,4.50757707317072,15.7564756097561,-10.0451,-0.701226829268307,2.13414804878049
3.46,-33.5726009756098,-6.13815853658548,-14.0361,0.620724390243936,1.15853829268293
3.48,-23.6066068292683,15.2004451219511,3.8298,1.17926097560974,1.40244073170732
3.50,3.72146292682926,37.7966158536585,11.7975,-0.335373170731714,1.58536756097561
3.52,-3.3195356097561,6.42287195121935,-8.9193,-0.736592682926812,2.68292853658537
3.54,-11.446496097561,-24.3754207317074,-28.2763,0.968285365853717,3.04878219512195
3.56,16.157256097561,-1.39382317073182,-11.388,-0.365860975609735,1.21951390243902
3.58,24.3286019512195,16.8616646341461,5.1974,-0.906104878048723,0.182928536585365
3.60,-11.2082946341464,-8.03601219512211,7.6674,-2.0963487804878,0.487806585365853
3.62,-29.6652092682927,-16.2975914634147,11.7936,0.613407317073211,-0.0609739024390255
3.64,0.610048780487787,13.6993719512193,27.9461,-2.17927560975602,1.40244073170732
3.66,15.1797917073171,11.2986707317073,22.737,-1.85488536585365,1.95122121951219
3.68,-0.96464536585367,-28.0674512195124,-4.498,-2.58659268292683,1.28048951219512
3.70,3.66474829268292,-30.1418841463416,-11.8898,0.66950487804877,-0.121949512195123
3.72,27.2757902439024,4.70667682926819,6.5195,0.152431707317078,-0.0609739024390255
3.74,8.78533999999999,7.79666463414628,15.0514,0.0621878048780218,-0.609754390243904
