"ID No.","PCD-400A"
"Title",""
"Test Date","2026/04/09","15:59:04"
"MEAS CHs",5
"Digital Input","OFF"
"Sampling Rate(Hz)",50
"Data Nos/CH",9105
"MEAS Time(sec)",182.1
"CH Name"
"CH No.","CH2","CH3","CH5","CH6","CH8"
"Range",2000,1000,5000,5000,5
"Calibration Coefficient",2.022,2.45,2.132,2,100000
"Offset",-97.55164,-1025.034,-15.1463,849.1317,-13.17073
"Unit","cm/s2","cm/s2","cm/s2","cm/s2","V"
1.58,-6.73030439024392,6.28065243902415,1.9786,0.409748780487803,1.15853829268293
1.60,-7.37438536585367,9.61504268292674,4.5357,-4.05732439024393,1.09756268292683
1.62,-6.77863512195123,3.94299390243896,3.9923,-5.89756829268288,0.426830975609755
1.64,-7.79900536585367,2.42190243902428,-3.7583,-1.70122682926831,0.731709024390243
1.66,-0.0922263414634301,4.9827499999999,-2.9042,-4.87317804878046,1.21951390243902
1.68,1.16387951219511,3.57878048780481,-8.0405,-5.39390975609751,1.8902456097561
1.70,-1.32219414634147,0.092609756097545,-1.0153,-2.18415365853662,2.68292853658537
1.72,-6.8979824390244,3.25699390243881,-2.3738,-1.08537317073171,1.64634317073171
1.74,-5.74988097560977,6.57644512195111,6.7652,-2.44269024390246,-0.243900731707319
1.76,-4.07507317073171,3.96749390243895,4.4083,-2.84390975609756,0.670733414634146
1.78,-5.43079951219514,0.60412195121944,4.0053,-4.22927560975609,0.853660243902437
1.80,0.133645853658521,-0.626853658536675,-1.2038,-1.77195853658532,1.52439195121951
1.82,-0.240670731707326,-0.285048780487841,0.477099999999998,-3.17195853658529,2.62195292682927
1.84,2.82339902439023,0.944731707317032,1.1102,-3.50244634146338,3.17073341463414
1.86,-4.59142292682928,-0.930115853658663,2.0046,-2.19878780487807,1.09756268292683
1.88,-6.54585853658537,1.45654268292674,4.8022,-6.74390975609754,1.52439195121951
1.90,-7.05185170731708,4.50589634146331,10.1777,-4.89025121951215,0.609757804878047
1.92,-3.4738980487805,3.79420121951216,-0.686400000000001,-4.54147073170725,1.7073187804878
1.94,-2.61380829268293,-1.12760975609774,1.4534,-2.40000731707312,2.80487975609756
1.96,-0.435966341463427,1.58023780487792,-2.1281,-3.80122682926822,1.7073187804878
1.98,0.639639024390235,3.45299390243895,2.5493,-3.60732439024389,1.70731707171967E-06
2.00,-2.94571219512196,2.65435365853637,-3.9832,-3.36708048780486,1.82927
2.02,-7.09229170731709,2.77625609756092,1.248,-5.93049512195114,1.58536756097561
2.04,-7.18648731707319,6.67862804878041,3.0537,-3.31220243902442,2.07317243902439
2.06,-6.13702000000001,8.26724390243885,2.3907,-5.19634878048782,2.25609926829268
2.08,-5.50230926829269,2.50884756097548,-3.1837,-4.60610487804877,2.19512365853658
2.10,-2.88554536585367,1.76966463414624,-7.6544,-5.3402512195122,1.34146512195122
2.12,-1.44647317073172,4.39534756097555,-2.8054,-2.71708048780488,1.7073187804878
2.14,-3.22238097560977,3.40698170731685,-0.3536,-3.85122682926828,0.182928536585365
2.16,-7.66486292682927,2.05320731707297,-0.195,-4.09756829268292,0.243904146341462
2.18,-6.60602536585367,4.47691463414617,1.5704,-2.25610487804875,0.853660243902437
2.20,-4.79608878048782,7.13546341463393,4.1119,-1.82195853658538,-0.42682756097561
2.22,-3.10796536585367,2.88381707317058,0.221,-1.96951951219512,0.487806585365853
2.24,-3.48573414634147,-2.31944512195139,-2.5974,-4.74512926829266,1.34146512195122
2.26,1.46915219512194,-0.637012195121997,-3.5217,-2.56464146341466,1.40244073170732
2.28,-0.545943414634152,2.46373170731704,3.1681,-4.28049512195116,1.64634317073171
2.30,-2.44859609756098,0.853006097560865,3.1109,-4.71098292682927,2.62195292682927
2.32,-6.59616195121953,-0.108768292682953,4.4525,-3.06464146341466,3.84146512195122
2.34,-5.43721073170732,3.94747560975588,6.9004,-4.43781219512198,3.10975780487805
2.36,-1.91202634146343,4.58477439024387,7.2696,-1.72195853658536,2.25609926829268
2.38,-1.62500097560977,0.202859756097496,2.2152,-4.56830000000002,1.58536756097561
2.40,-1.83163951219514,-2.859042682927,2.0644,-3.40976341463409,0.54878219512195
2.42,-1.33649609756098,1.6970609756097,-1.7589,-3.27317804878044,1.95122121951219
2.44,-0.942945853658543,5.56806097560957,1.4092,-3.6951292682927,2.01219682926829
2.46,-6.23220195121952,3.5106585365852,2.0215,-1.72195853658536,1.7073187804878
2.48,-8.52643219512196,3.63853658536573,1.7199,-3.18171463414637,1.95122121951219
2.50,-6.20852975609758,7.90452439024375,-0.2041,-2.898787804878,0.670733414634146
2.52,-3.71209951219514,5.79364024390225,-0.837200000000001,-2.75976341463411,1.09756268292683
2.54,-2.72131951219514,0.711384146341288,-6.1308,-3.18171463414637,0.975611463414634
2.56,-1.74928000000001,1.68630487804876,-3.9325,-4.94025121951222,2.37805048780488
2.58,-2.58125902439025,5.96334756097554,-2.4102,-3.51829999999995,1.52439195121951
2.60,-6.98773951219513,5.03772560975608,0.0442,-2.94390975609758,0.609757804878047
2.62,-8.38341268292685,4.9053658536584,1.5912,-2.71098292682927,0.609757804878047
2.64,-6.25834,4.34485365853652,2.5623,-4.92927560975602,1.03658707317073
2.66,-4.06274390243904,4.62092682926823,-0.549900000000001,-2.9048853658536,2.31707487804878
2.68,-0.740252682926837,1.40067073170712,-2.2776,-3.69269024390246,1.58536756097561
2.70,-0.192833170731717,-3.01082317073178,-7.2202,-2.99390975609754,1.64634317073171
2.72,-0.830009756097567,-0.0331768292683137,2.4973,-1.23781219512193,1.34146512195122
2.74,-3.17355707317074,2.76908536585347,1.6848,-4.28049512195116,-0.121949512195123
2.76,-5.09692292682928,2.35168902439023,3.5243,-6.57683658536587,1.28048951219512
2.78,-7.0459336585366,-0.358548780488036,3.2214,-2.47561707317072,2.19512365853658
2.80,-1.96232975609757,1.756219512195,4.2497,-2.19269024390246,1.7682943902439
2.82,-0.194312682926835,1.19540853658532,-3.2474,-4.60000731707316,1.82927
2.84,-0.578985853658551,-2.468536585366,-1.6068,-5.71098292682927,2.74390414634146
2.86,-0.791542439024397,-0.918762195122099,-2.6221,-5.82073902439026,1.21951390243902
2.88,-3.24802585365855,3.3122682926828,0.986699999999999,-4.93171463414637,1.7682943902439
2.90,-5.01259073170733,6.15307317073166,4.1054,-0.781714634146283,2.43902609756097
2.92,-8.80014195121953,2.43146341463398,4.0833,-4.19634878048782,1.03658707317073
2.94,-5.77749853658538,3.57728658536575,-0.0806000000000004,-2.74025121951217,0.243904146341462
