ID No.,PCD-400A,
Title,,
Test Date,4/9/2026,16:34:01
MEAS CHs,2,
Digital Input,OFF,
Sampling Rate(Hz),50,
Data Nos/CH,9855,
MEAS Time(sec),197.1,
CH Name,,
CH No.,CH6,CH8
Range,5000,5
Calibration Coefficient,2,100000
Offset,854.5598,-15.97561
Unit,cm/s2,V
7.8,10.11589756,0.731707073
7.82,12.2293122,-1.280488049
7.84,9.48175122,-2.560975854
7.86,11.94272683,0.060975366
7.88,9.923214634,-0.304878293
7.9,11.14150732,0.914633902
7.92,10.44760488,0.914633902
7.94,11.87077561,-0.609756341
7.96,11.2000439,-1.829268537
7.98,12.17443415,-1.585366098
8,12.89272683,-2.560975854
8.02,12.52077561,-1.341463659
8.04,10.99760488,-0.121951463
8.06,13.15370244,-0.670731951
8.08,11.65614146,-0.426829512
8.1,11.22077561,-0.060975854
8.12,10.81833659,-0.91463439
8.14,12.8195561,-2.44E-07
8.16,11.27077561,-0.670731951
8.18,12.5000439,-1.768292927
8.2,14.6293122,-1.585366098
8.22,13.32443415,-2.560975854
8.24,11.69150732,-1.768292927
8.26,14.5500439,-0.97561
8.28,13.09882439,-1.463414878
8.3,14.85858049,-2.134146585
8.32,13.69516585,-1.890244146
8.34,14.14760488,-1.768292927
8.36,13.0500439,-1.219512439
8.38,11.81223902,-1.09756122
8.4,12.73297073,-1.890244146
8.42,14.43906829,-1.951219756
8.44,11.90736098,-1.890244146
8.46,14.10126341,-1.707317317
8.48,12.49638537,-1.03658561
8.5,13.3902878,-0.182927073
8.52,13.25858049,-0.97561
8.54,12.9293122,-0.731707561
8.56,13.65126341,-1.768292927
8.58,12.71589756,-2.195122195
8.6,11.55126341,-0.97561
8.62,9.571995122,-0.85365878
8.64,11.85736098,-0.85365878
8.66,13.83419024,0.243902195
8.68,9.88784878,-0.609756341
8.7,10.84638537,-1.402439268
8.72,11.44638537,-0.243902683
8.74,9.253702439,-0.609756341
8.76,11.52077561,-0.609756341
8.78,9.400043902,-0.121951463
8.8,9.925653659,-1.219512439
8.82,10.51345854,-2.500000244
8.84,11.76345854,-2.378049024
8.86,8.74882439,-1.585366098
8.88,10.52565366,-0.426829512
8.9,11.76467805,0.304877805
8.92,9.067117073,-0.487805122
8.94,8.029312195,-2.378049024
8.96,10.14516585,-1.03658561
8.98,9.641507317,-0.792683171
9,10.06345854,-1.402439268
9.02,8.6098,-0.121951463
9.04,8.0098,-0.91463439
9.06,7.715897561,-2.256097805
9.08,10.2902878,-0.91463439
9.1,9.958580488,-1.219512439
9.12,7.763458537,-0.91463439
9.14,10.8695561,-0.304878293
9.16,12.32443415,-0.97561
9.18,9.934190244,-2.378049024
