CH No.,CH6,CH8,,,,
Unit,cm/s2,V,,,,
4.4,16.49150732,-3.109756341,,,,
4.42,16.2195561,-2.256097805,,,,
4.44,19.01345854,-1.402439268,,,,
4.46,18.7293122,-0.365853902,,,,
4.48,15.65248293,-0.670731951,,,,
4.5,17.94272683,-2.987805122,,,,
4.52,19.34516585,-3.35365878,,,,
4.54,21.91589756,-3.048780732,,,,
4.56,20.71589756,-2.378049024,,,,
4.58,20.20126341,-1.341463659,,,,
4.6,22.17809268,-1.09756122,,,,
4.62,21.30858049,-2.865853902,,,,
4.64,20.82809268,-2.560975854,,,,
4.66,24.02565366,-2.560975854,,,,
4.68,25.00858049,-2.439024634,,,,
4.7,23.09394634,-2.378049024,,,,
4.72,21.8293122,-2.804878293,,,,
4.74,23.16711707,-2.865853902,,,,
4.76,22.33540976,-1.890244146,,,,
4.78,25.23175122,-2.378049024,,,,
4.8,26.45614146,-1.646341707,,,,
4.82,24.90370244,-0.548780732,,,,
4.84,22.40736098,-0.731707561,,,,
4.86,23.99272683,-2.012195366,,,,
4.88,22.30492195,-0.97561,,,,
4.9,25.05614146,-3.170731951,,,,
4.92,25.6293122,-0.609756341,,,,
4.94,23.7402878,-0.060975854,,,,
4.96,22.62199512,-1.646341707,,,,
4.98,25.30248293,-0.97561,,,,
5,24.18906829,-1.524390488,,,,
5.02,22.4098,-1.402439268,,,,
5.04,23.73906829,-2.195122195,,,,
5.06,24.52809268,-0.85365878,,,,
5.08,21.89516585,-0.609756341,,,,
5.1,21.73297073,-1.890244146,,,,
5.12,20.98784878,-2.012195366,,,,
5.14,21.03784878,-1.768292927,,,,
5.16,22.09760488,-1.829268537,,,,
5.18,19.30126341,-1.829268537,,,,
5.2,22.57321463,-1.219512439,,,,
5.22,21.87077561,-2.134146585,,,,
5.24,19.82687317,-3.41463439,,,,
5.26,21.55492195,-3.841463659,,,,
5.28,20.41101951,-3.47561,,,,
5.3,20.27443415,-1.951219756,,,,
5.32,20.51833659,-1.768292927,,,,
5.34,18.52199512,-2.682927073,,,,
5.36,17.79638537,-3.109756341,,,,
5.38,18.91101951,-4.146341707,,,,
5.4,20.3402878,-3.59756122,,,,
5.42,17.73053171,-1.829268537,,,,
5.44,18.3500439,-1.219512439,,,,
5.46,17.1098,-0.85365878,,,,
5.48,18.02321463,-1.280488049,,,,
5.5,14.12321463,-1.829268537,,,,
5.52,14.7098,-1.890244146,,,,
5.54,14.67321463,-2.44E-07,,,,
5.56,14.36345854,-0.121951463,,,,
5.58,14.80736098,-0.243902683,,,,
5.6,15.22199512,-1.524390488,,,,
5.62,14.3793122,-2.256097805,,,,
5.64,12.44272683,-2.073170976,,,,
5.66,12.03419024,-2.743902683,,,,
5.68,12.36223902,-2.073170976,,,,
5.7,12.82443415,-1.707317317,,,,
5.72,11.7098,-2.500000244,,,,
5.74,11.76467805,-4.512195366,,,,
5.76,13.12077561,-2.378049024,,,,
5.78,14.67565366,-2.256097805,,,,
5.8,12.2695561,-0.609756341,,,,
5.82,16.86345854,-1.03658561,,,,
5.84,18.0695561,-2.073170976,,,,
5.86,16.81467805,-2.256097805,,,,
5.88,17.5500439,-2.317073415,,,,
5.9,19.91589756,-1.951219756,,,,
5.92,16.16101951,-2.500000244,,,,
5.94,17.55248293,-2.560975854,,,,
5.96,18.57321463,-3.170731951,,,,
5.98,19.75614146,-3.902439268,,,,
6,19.36833659,-0.97561,,,,
6.02,18.54394634,-1.03658561,,,,
6.04,21.4902878,-1.707317317,,,,
6.06,19.6793122,-11.70731732,,,,
6.08,23.33297073,-5.243902683,,,,
6.1,22.18419024,-3.719512439,,,,
6.12,21.21345854,-1.707317317,,,,
6.14,22.35126341,-0.121951463,,,,
6.16,23.67199512,-0.426829512,,,,
6.18,26.38784878,1.58536561,,,,
6.2,23.79272683,1.829268049,,,,
6.22,22.1402878,-0.121951463,,,,
6.24,22.64516585,0.792682683,,,,
6.26,23.88540976,-0.060975854,,,,
6.28,19.90858049,-0.304878293,,,,
6.3,23.02809268,0.182926585,,,,
6.32,21.35492195,-0.91463439,,,,
6.34,22.15370244,-2.134146585,,,,
6.36,22.64516585,-1.280488049,,,,
6.38,24.16711707,-2.439024634,,,,
6.4,23.58662927,-2.926829512,,,,
6.42,24.07077561,-1.158536829,,,,
6.44,21.82687317,-3.170731951,,,,
6.46,21.90736098,-3.231707561,,,,
6.48,23.29150732,-1.707317317,,,,
6.5,22.30126341,2.378048537,,,,
6.52,21.95370244,-0.060975854,,,,
6.54,21.46223902,-16.28048805,,,,
6.56,20.64272683,5.304877805,,,,
6.58,18.17443415,-0.548780732,,,,
6.6,22.01711707,-1.463414878,,,,
6.62,19.00370244,-2.317073415,,,,
6.64,18.57687317,-1.158536829,,,,
6.66,18.46345854,-5.121951463,,,,
6.68,17.38419024,0.121950976,,,,
6.7,17.59272683,-0.487805122,,,,
6.72,18.16589756,-1.219512439,,,,
6.74,18.51711707,-1.890244146,,,,
6.76,18.17565366,-5.182927073,,,,
6.78,17.5902878,5.609755854,,,,
6.8,17.8293122,0.487804634,,,,
6.82,17.15736098,-0.182927073,,,,
6.84,15.5500439,0.975609512,,,,
6.86,16.03662927,-0.91463439,,,,
6.88,14.24150732,-0.85365878,,,,
6.9,15.00370244,0.243902195,,,,
6.92,14.52321463,3.353658293,,,,
6.94,10.98175122,-1.280488049,,,,
6.96,11.87443415,-2.439024634,,,,
6.98,13.62809268,-3.47561,,,,
7,13.90614146,-15.3658539,,,,
7.02,11.47809268,-1.646341707,,,,
7.04,10.19760488,-1.585366098,,,,
7.06,13.23540976,-1.951219756,,,,
7.08,16.06345854,-2.195122195,,,,
7.1,11.20736098,-2.926829512,,,,
7.12,11.20492195,-2.743902683,,,,
7.14,9.97077561,-2.865853902,,,,
7.16,12.72443415,-4.939024634,,,,
7.18,14.4695561,-4.695122195,,,,
7.2,13.24394634,-3.47561,,,,
7.22,13.87687317,-2.682927073,,,,
7.24,14.39394634,-0.304878293,,,,
7.26,17.45858049,0.792682683,,,,
7.28,14.40858049,0.121950976,,,,
7.3,17.52687317,-10.06097585,,,,
7.32,17.14760488,7.378048537,,,,
7.34,17.72443415,1.219511951,,,,
7.36,18.31467805,0.365853415,,,,
7.38,19.01711707,0.365853415,,,,
7.4,17.08419024,0.365853415,,,,
7.42,18.7793122,0.121950976,,,,
7.44,18.57565366,-2.44E-07,,,,
7.46,21.71833659,-1.585366098,,,,
7.48,22.1695561,-0.97561,,,,
7.5,20.02199512,-0.548780732,,,,
7.52,19.88419024,-1.585366098,,,,
7.54,23.71589756,-1.158536829,,,,
7.56,20.93175122,-1.707317317,,,,
7.58,20.50736098,-1.829268537,,,,
7.6,20.72199512,-0.182927073,,,,
7.62,21.04394634,-0.97561,,,,
7.64,23.39882439,-0.609756341,,,,
7.66,21.17321463,-1.402439268,,,,
7.68,22.2500439,-1.829268537,,,,
7.7,22.5598,-3.170731951,,,,
7.72,23.57565366,-3.841463659,,,,
7.74,23.1598,-4.024390488,,,,
7.76,23.42809268,-5.060975854,,,,
7.78,21.42077561,-3.902439268,,,,
7.8,20.08297073,-4.756097805,,,,
7.82,21.38053171,-4.451219756,,,,
7.84,23.34760488,-3.048780732,,,,
7.86,20.22077561,-2.500000244,,,,
7.88,27.19760488,-1.829268537,,,,
7.9,21.71711707,-1.158536829,,,,
7.92,19.60736098,-1.585366098,,,,
7.94,22.58540976,-2.073170976,,,,
7.96,20.47077561,-1.219512439,,,,
