ID No.,PCD-400A,,,,
Title,,,,,
Test Date,4/9/2026,15:46:59,,,
MEAS CHs,5,,,,
Digital Input,OFF,,,,
Sampling Rate(Hz),50,,,,
Data Nos/CH,9028,,,,
MEAS Time(sec),180.56,,,,
CH Name,,,,,
CH No.,CH2,CH3,CH5,CH6,CH8
Range,2000,1000,5000,5000,5
Calibration Coefficient,2.022,2.45,2.132,2,100000
Offset,-105.9434,-1020.512,-55.6634,868.4366,-12.62195
Unit,cm/s2,cm/s2,cm/s2,cm/s2,V
3.82,2.90086,-1.891335366,0.1404,5.215868293,0.609757317
3.84,-6.422039512,-6.597128049,4.9803,8.606112195,2.073171951
3.86,-5.505728293,0.558067073,13.1326,4.654892683,2.804879268
3.88,0.199763902,6.04427439,15.5714,6.024404878,3.658537805
3.9,-1.161387317,-3.458439024,7.7415,7.14757561,4.329269512
3.92,-0.59029561,-9.85622561,-0.9009,7.178063415,3.109757317
3.94,7.242735122,-1.940335366,-1.3624,5.374404878,2.195123171
3.96,8.276420976,2.683890244,1.937,7.851234146,1.280489024
3.98,-4.940554634,-2.807695122,0.7956,6.865868293,0.426830488
4,-9.639978537,-0.733859756,4.134,5.580502439,2.50000122
4.02,-4.077999024,8.958579268,3.9416,6.860990244,2.560976829
4.04,-0.586843415,8.754512195,4.589,6.071965854,1.646342683
4.06,-3.004366341,-3.25945122,-7.3242,9.084160976,2.987806098
4.08,0.432047317,-1.855182927,-10.4767,6.485380488,2.987806098
4.1,5.214323902,6.774792683,-6.2478,7.691478049,2.50000122
4.12,-0.456646341,6.014695122,-1.9201,8.245136585,3.902440244
4.14,-10.56713951,1.491457317,-0.7735,7.757331707,4.390245122
4.16,-9.892975122,6.646018293,0.8372,6.863429268,3.231708537
4.18,-2.244390244,10.89079268,5.6147,6.418307317,2.987806098
4.2,-0.119317561,1.241676829,-3.9156,7.623185366,2.804879268
4.22,0.445856098,-7.307030488,-11.2333,7.646356098,2.987806098
4.24,5.472252195,-1.409402439,-1.6484,5.912209756,4.085367073
4.26,6.389056585,3.055871951,5.0193,5.54757561,3.414635366
4.28,-4.544045366,-1.513676829,6.2231,7.734160976,2.865854878
4.3,-9.010199512,-2.583908537,11.297,9.506112195,1.524391463
4.32,-2.158578537,2.409609756,8.658,7.831721951,1.341464634
4.34,4.717207805,0.953353659,9.2833,7.0866,1.951220732
4.36,2.310041463,-8.793762195,-0.1378,8.821965854,2.31707439
4.38,2.422977561,-9.30497561,-3.5269,6.270746341,1.402440244
4.4,5.574831707,1.139493902,5.6823,8.462209756,1.158537805
4.42,-0.504483902,3.848536585,2.6923,7.71464878,1.036586585
4.44,-9.937360488,-1.467963415,5.3105,6.507331707,0.853659756
4.46,-7.137137073,2.272469512,5.109,7.613429268,1.829269512
4.48,2.457992683,7.433902439,3.3319,5.706112195,2.43902561
4.5,2.600025854,1.800097561,-0.5356,7.098795122,3.292684146
4.52,-1.539649268,-5.096054878,-10.7588,8.791478049,3.597562195
4.54,0.812775122,1.635768293,-5.1909,7.40855122,2.073171951
4.56,0.818693171,9.640695122,0.4667,7.169526829,1.402440244
4.58,-7.712667317,5.758042683,-0.3224,10.17074634,3.292684146
4.6,-12.01360927,1.772310976,-0.8541,4.040258537,3.109757317
4.62,-2.704025366,6.49752439,-0.9204,7.939039024,3.902440244
4.64,4.116032683,6.660359756,-1.1115,8.670746341,4.75609878
4.66,1.760156098,-3.784408537,-3.5997,7.207331707,3.719513415
4.68,-0.082329756,-5.579780488,-6.4402,7.117087805,4.390245122
4.7,2.25382,2.864652439,2.3088,8.051234146,4.93902561
4.72,-1.63532439,5.642115854,9.8839,6.929282927,4.695123171
4.74,-7.732887317,-2.364006098,7.2813,9.443917073,5.426830488
4.76,-5.460356585,-3.053591463,3.718,5.818307317,3.658537805
4.78,5.862350244,1.762152439,7.6063,5.676843902,1.524391463
4.8,6.705672195,-3.73720122,1.6952,6.535380488,2.31707439
4.82,1.79566439,-9.364432927,-1.7888,7.787819512,1.768293902
4.84,1.922902439,-4.293829268,4.1314,8.695136585,2.134147561
4.86,2.028934146,5.303597561,8.4149,5.602453659,3.231708537
4.88,-6.552236585,2.502231707,7.4139,9.407331707,3.109757317
4.9,-8.31482878,-2.147689024,3.7544,5.687819512,1.219513415
4.92,-0.122276585,0.892402439,1.5093,11.61952683,2.25609878
4.94,7.212158537,4.181079268,-2.5298,7.719526829,1.341464634
4.96,1.832652195,-1.610780488,-5.2702,8.8866,0.975610976
4.98,-3.331831707,-1.505012195,-7.9703,8.495136585,2.682928049
5,-2.008161463,7.132432927,-0.7514,9.032941463,1.646342683
5.02,-3.792946341,11.18748171,5.577,8.729282927,1.463415854
5.04,-9.921085854,4.239939024,-0.9412,6.510990244,1.463415854
5.06,-6.996583415,0.957536585,-4.1951,8.241478049,0.792684146
5.08,3.970547317,5.390841463,-2.1762,4.954892683,1.524391463
5.1,5.453018537,1.814140244,-5.3196,8.940258537,3.353659756
5.12,-2.715368293,-4.16625,-6.3713,8.626843902,2.865854878
5.14,-3.221854634,-0.265670732,-0.8437,7.646356098,1.646342683
5.16,-0.975955122,7.486786585,9.685,6.070746341,1.768293902
5.18,-5.736532195,3.834195122,10.452,7.379282927,1.402440244
5.2,-6.995597073,-4.524487805,5.0037,8.171965854,3.170732927
5.22,2.495473659,-3.690292683,2.717,6.568307317,3.658537805
5.24,10.19485512,-0.851579268,0.9178,9.476843902,3.536586585
5.26,2.926011707,-5.357487805,-1.3585,7.310990244,3.292684146
5.28,-2.23502,-7.348560976,2.6897,7.157331707,3.597562195
5.3,-1.633844878,1.663256098,11.154,8.579282927,3.780489024
5.32,-3.229745366,5.790908537,13.1352,7.75855122,3.414635366
5.34,-5.808535122,-1.145878049,5.5861,5.671965854,2.926830488
5.36,-2.344010732,-4.446207317,-0.8372,9.696356098,4.268293902
5.38,6.374261463,0.350414634,-3.9221,6.159770732,3.292684146
5.4,6.169102439,1.64622561,-3.3813,6.126843902,1.829269512
5.42,-3.403341463,-2.029371951,-2.5012,9.46464878,2.31707439
5.44,-6.504892195,2.261115854,1.7537,8.378063415,2.987806098
5.46,-4.310282439,10.94905488,3.5724,6.826843902,3.109757317
5.48,-4.977542439,8.515786585,2.5571,8.16464878,3.841464634
5.5,-7.251552683,-0.126439024,-4.7099,8.910990244,3.597562195
5.52,0.216531707,0.89897561,-6.253,7.478063415,1.951220732
5.54,6.52665122,5.908926829,-6.0957,8.668307317,2.134147561
5.56,0.827570244,2.241396341,-4.8672,6.524404878,3.170732927
5.58,-6.046243415,-0.890420732,-2.3842,7.630502439,3.902440244
5.6,-5.157549756,4.972847561,4.654,7.773185366,3.353659756
5.62,-1.922842927,7.504115854,7.3086,7.691478049,3.292684146
5.64,-3.617377561,0.044463415,3.9195,8.140258537,2.560976829
5.66,-1.180127805,-6.540359756,-0.5915,7.115868293,3.231708537
5.68,6.393495122,-2.777219512,1.6796,8.329282927,4.085367073
5.7,7.122401463,-0.899384146,2.1502,8.646356098,4.81707439
5.72,-3.132590732,-5.426804878,5.616,8.00855122,5.914635366
5.74,-6.82496,-2.165317073,10.3779,8.221965854,4.573171951
5.76,-0.719999512,3.792963415,13.6227,9.253673171,2.987806098
5.78,-1.381341463,1.954567073,6.0229,9.44757561,3.536586585
5.8,-2.62610439,-5.760841463,0.3718,7.950014634,2.31707439
5.82,2.798773659,-4.846573171,-4.199,5.463429268,2.195123171
5.84,7.731960488,1.950981707,-3.0615,5.963429268,3.841464634
5.86,-0.548376098,2.716756098,1.7862,6.067087805,3.597562195
5.88,-8.251702927,0.650689024,4.2627,5.423185366,2.743903659
5.9,-6.91915561,5.700676829,3.3514,7.86464878,2.621952439
5.92,-1.757137561,9.269908537,3.1525,9.293917073,2.43902561
5.94,-2.560512683,3.26920122,-3.0862,7.653673171,3.048781707
5.96,-1.579596098,-2.110341463,-8.2771,7.609770732,3.109757317
5.98,3.830486829,2.573341463,-5.5744,9.491478049,1.280489024
6,3.647520488,6.636158537,-1.5249,7.396356098,-0.24390122
6.02,-7.207167317,2.269780488,-0.6578,7.510990244,0.731708537
6.04,-10.38565268,2.423054878,3.3748,7.071965854,0.182928049
6.06,-3.501482439,6.598512195,4.3043,7.362209756,1.097562195
6.08,0.776773659,3.582323171,3.8831,8.563429268,2.012196341
6.1,-0.238171707,-5.356890244,-3.2786,8.04757561,1.341464634
6.12,3.499076098,-6.076353659,-3.2903,10.63538049,0.975610976
6.14,6.32494439,0.059103659,3.5802,7.118307317,1.219513415
6.16,0.571121463,-0.545926829,7.0473,6.503673171,1.646342683
6.18,-7.724996585,-3.796957317,9.0103,7.378063415,2.560976829
6.2,-5.175797073,0.089878049,8.97,6.409770732,2.50000122
6.22,3.252983902,2.543762195,12.1199,8.92562439,2.195123171
6.24,1.854844878,-3.297396341,4.2627,9.024404878,1.829269512
6.26,1.760649268,-8.63122561,-1.6107,9.830502439,0.365854878
6.28,3.93849122,-1.431512195,2.3049,6.978063415,0.670732927
6.3,3.06262,3.965957317,1.4846,7.567087805,2.804879268
6.32,-6.590210732,2.841945122,4.8516,9.001234146,2.804879268
6.34,-10.58292098,2.244085366,5.0739,6.468307317,2.987806098
6.36,-2.727697561,6.689042683,2.262,5.665868293,1.768293902
6.38,0.79156878,4.715,-2.8366,7.30855122,1.219513415
6.4,-0.067041463,-0.793615854,-9.1806,9.539039024,2.43902561
6.42,-0.685477561,-0.997981707,-7.3619,6.701234146,4.81707439
6.44,0.761485366,6.328115854,-2.7742,9.365868293,4.93902561
6.46,-4.265403902,7.095384146,4.1743,7.846356098,6.097562195
6.48,-9.987170732,2.74275,2.3153,7.223185366,5.121952439
6.5,-6.783040488,3.782207317,1.9331,9.30855122,4.390245122
6.52,2.916641463,5.720396341,1.6146,8.852453659,4.695123171
6.54,2.555147317,-0.972884146,-6.1373,10.35245366,5.548781707
6.56,0.142062927,-7.015719512,-5.1909,8.985380488,4.512196341
6.58,1.208298049,-1.150658537,0.0325,7.81464878,5.487806098
6.6,1.381400976,4.178390244,11.1904,5.989039024,4.451220732
6.62,-4.438013659,-0.003939024,8.307,6.796356098,3.414635366
6.64,-5.926896098,-2.399859756,8.0925,7.912209756,5.304879268
6.66,0.921272683,-0.115981707,5.8136,7.034160976,4.390245122
6.68,7.198349756,-1.632591463,4.4044,7.334160976,5.670732927
6.7,3.080374146,-7.347365854,-2.2074,8.020746341,6.341464634
6.72,-0.511881463,-6.068884146,-2.6312,7.484160976,4.268293902
6.74,0.332426829,2.904390244,8.5566,7.570746341,2.987806098
6.76,-2.823865854,5.102817073,7.8546,10.34269756,3.841464634
6.78,-8.699501951,1.304719512,5.3235,6.565868293,2.804879268
6.8,-5.979172195,2.208829268,0.5707,7.674404878,4.085367073
6.82,2.95510878,4.896658537,-0.2717,7.896356098,4.329269512
6.84,2.829350244,1.550018293,-5.2637,9.665868293,2.31707439
6.86,-1.73642439,-1.2385,-6.7327,7.279282927,1.524391463
6.88,-2.810550244,3.620865854,-2.5935,6.704892683,2.31707439
6.9,-2.020490732,10.9777378,3.874,8.84757561,1.646342683
6.92,-6.06301122,6.262981707,4.7762,8.742697561,2.621952439
6.94,-8.147643902,1.208512195,0.1248,9.360990244,3.414635366
6.96,-0.086768293,2.697036585,-1.079,10.5061122,2.073171951
6.98,6.14296439,2.636981707,-2.431,8.784160976,1.341464634
